City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
481,fort bragg,35.139,-79.006,18.91,65,0,8.23,US,1712906591
482,kuta,-8.7233,115.1723,30.97,74,40,5.81,ID,1712906647
483,banda aceh,5.5577,95.3222,30.07,69,100,1.87,ID,1712906648
484,kumhari,21.2667,81.5167,25.19,31,100,3.66,IN,1712906648
485,arica,-18.475,-70.3042,19.13,77,0,3.09,CL,1712906649
486,essaouira,31.5125,-9.77,17.72,63,15,2.57,MA,1712906649
487,nadym,65.5333,72.5167,-5.58,92,100,12.79,RU,1712906650
488,wynyard,-41.0,145.7167,16.22,68,30,4.16,AU,1712906650
489,kuching,1.55,110.3333,30.12,84,40,3.09,MY,1712906634
490,kisangani,0.5167,25.2,29.92,59,99,0.4,CD,1712906651
491,holualoa,19.6228,-155.9522,22.91,92,100,4.12,US,1712906652
492,singaraja,-8.112,115.0882,28.74,82,35,1.75,ID,1712906652
493,kaspiyskiy,45.3929,47.3707,17.03,51,6,5.38,RU,1712906653
494,tucuma,-0.1833,-50.05,25.56,92,100,2.75,BR,1712906578
495,pasighat,28.0667,95.3333,31.66,27,23,2.21,IN,1712906654
496,keflavik,64.0049,-22.5624,1.95,93,75,6.69,IS,1712906654
497,bhayavadar,21.85,70.25,33.61,32,0,1.9,IN,1712906654
498,korsholm,63.1142,21.6822,5.69,76,0,4.63,FI,1712906455
499,kodinsk,58.6881,99.1844,-1.98,72,100,1.98,RU,1712906656
500,richards bay,-28.783,32.0377,19.9,56,8,4.98,ZA,1712906656
501,longido,-2.7333,36.6833,21.8,76,99,2.26,TZ,1712906657
502,labasa,-16.4167,179.3833,26.39,84,100,2.44,FJ,1712906657
503,bestobe,52.4994,73.0975,7.85,49,100,7.71,KZ,1712906657
504,puerto baquerizo moreno,-0.9,-89.6,24.87,88,25,3.88,EC,1712906532
505,okha,53.5739,142.9478,5.14,72,11,4.02,RU,1712906658
506,balkanabat,39.5108,54.3671,16.09,71,99,3.39,TM,1712906659
507,laela,-8.5667,32.05,18.63,91,99,1.13,TZ,1712906659
